# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	122887
#@/user_id	6af16447-f9f1-43b9-a6ee-fea5984459fe
bang le 	綁了	c=1 d=2.19407e-97 t=103452
bang le ni ne 	幫了你呢	c=1 d=1.57037e-221 t=103452
bang mang 	幫忙	c=16 d=1.93243e-15 t=103452
bang mang kan 	幫忙看	c=1 d=4.89962e-137 t=103452
bang mang xie you jian 	幫忙寫郵件	c=1 d=9.3377e-224 t=103452
bang ni 	幫你	c=23 d=1 t=117057
bang ni kan 	幫你看	c=1 d=5.7568e-122 t=103452
bang ren 	幫人	c=4 d=5.21851e-26 t=103452
bang ta 	幫他	c=0 d=2.26504e-149 t=103452
bang ta 	幫她	c=4 d=2.73203e-118 t=103452
bang ta men 	幫他們	c=1 d=5.16294e-194 t=103452
bang wo 	幫我	c=6 d=9.14865e-14 t=103452
bang wo gao 	幫我搞	c=1 d=9.30559e-66 t=103452
bang wo mai 	幫我買	c=1 d=2.34819e-131 t=103452
bang yi qi 	綁一起	c=1 d=1.35262e-24 t=103452
bang zhe 	幫着	c=3 d=2.65881e-55 t=103452
bang zhu 	幫助	c=3 d=1.00001 t=115012
bang zhu xin xi 	幫助信息	c=1 d=2.61402e-128 t=103452
bang zi 	棒子	c=1 d=2.63974e-08 t=103452
bao 	保	c=6 d=1.96079 t=104341
bao 	包	c=62 d=2.35199 t=118719
bao 	報	c=5 d=1 t=112370
bao 	寶	c=3 d=1.292e-15 t=103452
bao 	抱	c=2 d=7.30511e-43 t=103452
bao 	暴	c=2 d=2.46723e-07 t=103452
bao 	爆	c=1 d=2.37737e-188 t=103452
bao 	薄	c=4 d=2.9216 t=109308
bao 	飽	c=1 d=1.15727e-130 t=103452
bao an 	保安	c=1 d=1.14863e-42 t=103452
bao ban 	報班	c=1 d=1.04739e-74 t=103452
bao bao 	寶寶	c=0 d=1.22478e-151 t=103452
bao bao 	抱抱	c=3 d=1.83259e-126 t=103452
bao bao ni 	抱抱你	c=3 d=6.11194e-91 t=103452
bao bei 	寶貝	c=0 d=0.1 t=114096
bao bei zi 	抱被子	c=1 d=7.34173e-42 t=103452
bao bi 	暴斃	c=2 d=1.05759e-188 t=103452
bao bing 	暴兵	c=1 d=2.44268e-07 t=103452
bao bu bao 	報不報	c=1 d=1 t=103481
